Country,L1Name,number_of_urban_patches,patch_density,area_weigthed_mean_shape_index,area_weigthed_mean_nearest_neighbor,effective_mesh_size,area_weighted_mean_patch_size,Circuity_average,intersection_density,street_density,street_length_average,streets_per_node_average,urb_perfil,stt_perfil,area,population_density,CentLatitude,CentLongitude
Brasil,Jaragua do Sul,143,2.0537,6.9354,61.0424,1345.5824,2399.0096,1.04348041651519,4.5829183544820005,929.877131686595,110.53028455438,2.461768770152,2,2,629.511541958526,3386.954337,-26.4822209,-49.073477
Mexico,Hermosillo,144,0.7007,8.5316,60.611,8396.5989,12621.1262,1.03673767126051,9.65693736772922,1575.35059053747,91.339732369503,3.01448345402878,6,5,1904.9517771000799,4406.394652,29.0729673,-110.9559192
Guatemala,Quetzaltenango,146,2.7353,8.172,61.1828,1333.1758,2383.4642,1.05530319470663,7.85102655319839,1226.31597601193,88.8626596570691,2.73405191377034,2,2,447.96689657955903,5948.745106,14.8446068,-91.5231866
Brasil,Araraquara,148,1.6648,5.2568,64.5362,1446.5624,2501.444,1.02367068998946,10.1034761642715,1652.06266780475,94.8201498706099,3.20126969198213,2,3,776.267481852911,4440.738444,-21.7848272,-48.1786486
Brasil,Sao Jose do Rio Preto,149,1.2596,6.1884,61.8593,3308.5763,5291.3872,1.02133663524724,11.518668962741001,1795.67682655587,91.6144313871883,3.24636166278041,4,3,1025.03162806324,4978.682743,-20.811761,-49.3762272
Brasil,Aracaju,149,1.1899,4.5405,61.0335,1494.2068,2645.6223,1.04144090734882,11.182567942586699,1649.94855478611,89.7492411891379,2.98855081555834,4,6,1035.62974617805,8957.280194,-10.9472468,-37.0730823
Brasil,Brusque,152,3.7115,6.3683,62.4766,398.6522,855.068,1.05644701932447,4.9333135027990895,918.698369225888,105.69901728395,2.47563718140929,1,2,372.77176870202396,3635.017288,-27.0982053,-48.9111422
Argentina,Mar del Plata,153,1.1238,6.8723,60.8413,5883.8861,8666.1085,1.01133813131598,7.5879162164989795,1457.47384079093,102.798617532302,3.60695114184332,6,5,1391.9500029578899,6051.319484,-38.0054771,-57.5426106
Argentina,Resistencia,153,1.6994,7.0272,60.5938,2899.8367,4652.2583,1.01964602579323,10.565078870528101,1658.40878550508,88.3227742060919,3.22508038585209,4,3,821.7638605821389,6651.601355,-27.4518622,-58.98555469999999
Brasil,Foz do Iguacu,154,1.7652,4.505,61.5358,2031.0904,3224.7614,1.02589098159794,7.2053454999246105,1468.27145119338,116.198870856911,3.17644238452932,4,1,783.1685517452331,4324.695394,-25.5163356,-54.58537639999999
Brasil,Boa Vista,154,1.5298,5.2297,60.6659,3105.0712,4754.9339,1.01306305311004,9.18518182409448,1769.76962041854,107.459770901516,3.41811978771796,4,3,816.314814839192,4202.074757,2.8235098,-60.6758331
Brasil,Piracicaba,154,1.4719,7.7479,60.6751,1983.5702,3445.3899,1.04183303833669,8.85023616240359,1482.42481429337,98.0324094833789,3.00969409737182,4,5,919.071519758284,5097.765206,-22.7626467,-47.8427298
Mexico,Cancun,158,1.3502,6.2467,60.7256,4581.2274,6932.8921,1.04931195125356,11.0100416841225,1754.67902430656,91.7743476224789,2.99476963310514,6,6,1016.3449259358299,7143.724682,21.161908,-86.8515279
Argentina,Neuquen-Plottier-Cipolletti,159,1.629,6.5269,61.224,2827.1368,4463.1789,1.02652785436247,10.3442262204098,1550.96126606604,87.8877245122022,3.22477893890675,4,3,903.209172046683,4564.814416,-38.9475672,-68.22885
Brasil,Rondonopolis,162,2.0168,4.6124,60.9882,2193.9882,3552.3249,1.02025228767586,9.808598803197519,1703.41522502247,100.249485882556,3.36129963898917,4,3,679.5058227712669,3626.353302,-16.465423,-54.6387934
Argentina,San Juan,163,1.1951,6.0141,61.1442,5051.178,7610.868,1.02870034276876,7.26780663648065,1285.09168418698,101.52360563552,2.95602620479224,6,1,1295.30138470478,4720.492666,-31.5351074,-68.5385941
Brasil,Bauru,164,1.5381,6.7302,60.8597,1812.0407,3173.7568,1.02581692626693,10.0527936658806,1655.90361939552,93.8734327144765,3.31848731066305,4,3,934.3671333750709,5519.28732,-22.314459,-49.0586951
Brasil,Joinville,167,0.9986,6.6449,62.0435,5591.4116,8556.8123,1.02742737336811,5.781547102434399,1127.538864237,108.038817812995,2.72997494167458,6,1,1511.53313207814,4119.230323,-26.2834213,-48.8452269
Brasil,Juiz de Fora,169,1.8142,6.6533,61.0547,1284.2123,2367.8251,1.09481975468916,6.3985310054292,1262.24795063473,118.244759387237,2.79225352112676,2,2,813.311679756551,8541.627511,-21.7624237,-43.3433999
Brasil,Volta Redonda,169,1.8071,6.6206,60.618,1486.1963,2595.2737,1.10028406641854,6.3097357982903,1155.48897363071,110.623359580664,2.80519902518277,4,2,821.904460945132,7166.764413,-22.4871853,-44.0770134
Brasil,Mogi Guacu,171,2.077,5.3552,61.1363,1422.6826,2307.3665,1.02997196539977,8.59334594833807,1456.37569341424,102.892102521501,3.0909364196603,2,5,722.884896912753,3783.588475,-22.1750684,-47.0972424
Brasil,Anapolis,179,1.5498,6.8574,60.7219,2493.8745,4316.1259,1.02672200422926,9.60043297669926,1655.87313566862,103.089637064407,3.14697090474292,4,3,977.2475911003789,4778.305577,-16.3286427,-48.95343339999999
Mexico,Reynosa,181,1.1297,9.4329,60.6699,5814.6326,9196.4019,1.03063990333001,7.53776718189246,1324.79484502356,101.963314943018,3.08439960629921,6,1,1445.25556933756,5156.458897,26.0508406,-98.29789509999999
Mexico,Tlaxcala,184,2.3275,10.2911,61.1525,1746.0039,3202.0886,1.04072534158096,5.732587149417331,1225.57970480374,123.488890585619,2.75453446191052,6,2,679.6233355817351,5324.669092,19.318154,-98.2374954
Brasil,Maringa,195,1.3889,8.8748,61.1292,3874.1261,6575.4012,1.01450660739999,8.74842261273706,1654.04225699894,107.276535109717,3.2868018133607,6,3,1241.3666418205,5137.491387,-23.4209995,-51.9330558
Mexico,Morelia,196,1.2382,6.2553,63.1887,3768.1743,6267.1901,1.04312786939436,13.4191714159082,1874.69356283946,81.8404375499494,2.98894079511869,4,6,1365.58356936076,6954.060936,19.7059504,-101.1949825
Argentina,Bahia Blanca,198,1.918,5.1609,61.0614,1612.1203,2803.2783,1.01358619231838,6.048770849230539,1172.6384289869,109.389079448227,3.44693237796686,4,1,1068.4815413072101,4514.831475,-38.7183177,-62.2663478
Mexico,Veracruz,198,1.2615,6.253,60.9659,4130.7072,6598.5902,1.0382210750635,10.4943253667346,1673.15028530757,90.9672362360343,3.14131054131054,6,3,1347.96659200605,6682.396631,19.173773,-96.1342241
Mexico,Acapulco de Juarez,202,1.4523,10.5945,60.3893,3740.4671,6387.8479,1.08602434359555,7.33406610148841,1264.025353675,99.6729095104334,2.68102059086839,6,2,1179.01855264777,8058.568076,16.8531086,-99.8236533
Argentina,San Miguel de Tucuman-Tafi Viejo,203,1.0284,5.2178,61.5767,5353.6666,8166.8568,1.02226930985725,7.568053888187061,1427.21691977653,106.700716194099,3.20250123648696,6,5,1690.1306715013402,6597.268441,-26.7324791,-65.26702879999999
Colombia,Cali,205,1.0631,7.0134,60.5209,7167.5486,10666.987,1.03322261724007,13.594260726110901,1898.22879917262,82.1903854290367,3.12573301138323,6,4,1567.79397051459,17699.66723,3.4516467,-76.5319854
Brasil,Ribeirao Preto,206,1.2091,8.0797,60.631,4985.6744,8173.5785,1.03375027223378,9.58991450838187,1622.04027366321,98.0467053906381,3.07677374913895,6,5,1482.3906915515,5433.71734,-21.1704008,-47.8103238
Mexico,Nuevo Laredo,210,1.841,6.2349,60.7022,2275.0333,3947.9243,1.02017916285471,8.76940575437397,1489.67243846885,96.0285189403315,3.29714633898649,4,5,1041.46167434944,5195.35319,27.4779362,-99.549573
Mexico,San Luis Potosi,211,0.8991,7.6445,61.06,9952.9488,14404.2173,1.03765870197842,9.31023493166062,1479.00283449601,91.7738072183633,2.92355983907334,6,5,2054.51313961507,5586.49185,22.1564699,-100.9855409
Brasil,Ponta Grossa,214,2.022,7.9817,61.3613,2936.6189,4926.8901,1.02745058238377,7.51206696799075,1397.48191234622,103.896294550579,3.19132589838909,4,5,949.538925890041,4379.313475,-25.0949322,-50.1545956
Mexico,Culiacan,214,1.2863,6.0302,60.584,3942.9933,6216.9887,1.02494546951614,10.557292703370301,1641.24232917702,87.5638141522991,3.11043560711696,6,3,1485.32397846598,5370.006049,24.8090649,-107.3940117
