Country,L1Name,L2Name,number_of_urban_patches,patch_density,area_weigthed_mean_shape_index,area_weigthed_mean_nearest_neighbor,effective_mesh_size,area_weighted_mean_patch_size,Circuity_average,intersection_density,street_density,street_length_average,streets_per_node_average,urb_perfil,stt_perfil,area,population_density,CentLatitude,CentLongitude
Argentina,Mendoza,Capital,57,1.1692,2.6763,63.7873,323.2939,952.5081,1.05305325357318,40.3023747521275,6966.80431997455,102.172468936233,3.095,2,1,48.8804943161817,7115.220742,-32.8785671808468,-68.9021637572435
Brasil,Imperatriz,IMPERATRIZ,231,0.1688,5.2544,95.0832,70.9859,2613.6109,1.03521089676933,3.84526848973646,742.132200123266,109.485133881407,3.0484502446982,1,6,1378.05721866853,6687.217891,-5.33976687304435,-47.5752441864235
Brasil,Porto Alegre,GRAVATA,514,1.1093,4.2854,69.0211,242.3141,2261.9774,1.05332576216018,9.56408434593568,2610.65719856063,156.140288745187,2.85894621295279,2,4,465.073271953128,5307.287669,-29.8907785665921,-50.9473961896149
Brasil,Santarem,SANTAR7M,617,0.027,3.5872,126.5603,2.9059,1619.8694,1.09608612800096,0.21524177427491,80.5011837636205,211.023269320262,3.16585716855549,1,6,23039.2079637211,7229.736807,-2.76459822700711,-55.0938533107954
Colombia,Manizales,VILLAMARIA,15,0.033,2.369,323.4853,0.2311,70.6641,1.51700688845625,1.40030233118706,562.26432547362,227.77093443628,2.73582629674306,5,3,457.758289566377,34382.56659,4.94028143034355,-75.4351011030394
Brasil,Blumenau,POMERODE,230,1.0713,5.2377,93.0649,6.3099,189.7602,1.12186879776464,3.75251472875155,1698.56830104248,246.59409767027,2.32120743034055,4,3,215.588760731966,3952.625091,-26.7285896173928,-49.1733024431205
Brasil,Porto Alegre,S3O LEOPOLDO,181,1.7621,7.1169,61.0825,1575.8751,3784.9986,1.02564758345941,48.3655171701647,8202.8467616241,99.3691275039063,3.06294835007173,2,1,103.089975911096,5158.053738,-29.7553864407188,-51.1449776475857
Mexico,Mexico City,Iztacalco,1,0.0433,1.7695,,2309.4,2309.4,1.01258619127694,130.638238312809,20113.5602671399,90.3933838526853,3.10999408633944,6,5,23.2167858291043,16599.80947,19.3969118972681,-99.094329797914
Brasil,Caruaru,CARUARU,330,0.3586,4.5404,124.3831,91.3105,2245.3059,1.04508768406099,8.9524340165903,1611.58760853733,105.948524753714,3.01400320684126,1,2,926.563656836568,8594.72645,-8.17998007156036,-36.0165880830256
Brasil,Maringa,MARING0,302,0.6202,9.1781,67.8308,774.1315,5163.6696,1.02417386331539,20.0103000110819,4391.34573102373,125.455522444948,3.24265886129732,2,4,489.298011253085,5024.554223,-23.4009476300757,-51.9678042689744
Argentina,San Miguel de Tucuman-Tafi Viejo,Yerba Buena,84,0.5671,3.6198,63.9369,174.4285,1350.387,1.06090847187407,13.2731746430811,2726.97077907551,116.841792299885,2.9728237791932,2,4,148.721014608888,4023.458939,-26.7918948030074,-65.3462251540318
