L1,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,LAT,LONG,SECPOV,AREA,POP,CNSMINPRM,CNSMINPRF,CNSUNEMPLM,CNSUNEMPLF,BRT,SUBWAY,URBAN_PROF,TRANS_PROF
Vitoria,Brasil,1015,0.7038,672.1077,4391.156,7.6841,65.0453,1.071350779,21.86044271,3970.7985840000006,106.32409320000001,2.944382918,-20.319444,-40.337778,22.35,22075.235,1646576.0,72.33221402,70.80922891,6.57057747,11.21078497,0,0,3,3
Anapolis,Brasil,403,0.2642,193.1277,4104.0279,6.9747,74.3991,1.04259536,7.10782798,1503.0597,126.6881864,3.116976962,-16.33333394,-48.96666708,23.62,7178.1151,346413.0,65.45433849,66.47645266,4.749956078,11.2460108,0,0,3,1
Goiania,Brasil,1997,0.5712,2020.1479,17582.2905,9.6799,68.09899999999999,1.0411380590000001,18.77453939,3593.372986,115.1568338,3.2018588439999998,-16.678611,-49.253889,18.84,40168.0574,2064085.0,70.22056906,72.14888871,4.610837548,8.059823386,1,0,4,3
Rio Verde,Brasil,365,0.0436,7.2584,1792.3725,4.6431,175.1468,1.094562175,0.695138842,269.65489460000003,220.0502747,3.317531737,-17.7166671,-50.93333432,22.12,3393.259,180875.0,58.02963673,61.79610642,4.935689346,9.490106052,0,0,2,2
Caxias,Brasil,277,0.0538,5.106,1214.8182,5.0495,104.1936,1.061907133,0.52267265,160.0176909,192.785193,3.056254136,-4.833333377,-43.34999844,63.15,2164.8658,155815.0,41.19435722,45.13746356,13.02102474,18.41694414,0,0,2,2
Imperatriz,Brasil,366,0.1335,35.7462,2220.8435,4.9413,143.4364,1.044298472,2.23955208,488.4423631,122.99506299999999,3.0295620939999997,-5.533333232,-47.48333345,42.79,4411.1784,292457.0,59.80220908,64.55196185,7.77331052,13.31800447,0,0,2,2
Sao Luis,Brasil,1371,0.9708,1245.4506,9225.0787,9.1956,63.0288,1.037210685,17.93151992,3203.192621,105.5341315,2.94263386,-2.514996058,-44.30099657,40.77,19066.9083,1315122.0,73.80850500000001,76.45208081,9.600977174,16.9523091,0,0,3,3
Cuiaba,Brasil,957,0.2106,390.0853,10507.435,10.4679,71.3419,1.058099055,5.244552318,1099.139392,123.46097979999999,3.0568543110000004,-15.61500007,-56.09300368,22.31,16867.7949,807461.0,71.07844058,74.26508949,5.748394095,9.574822987000001,0,0,3,1
Rondonopolis,Brasil,399,0.0959,41.6246,3235.6232,4.7081,95.0924,1.03658977,1.848597889,436.5684634,135.83308180000003,3.3286721939999997,-16.4666671,-54.63333497,21.06,5350.59,196392.0,63.84387401,67.43420464,5.7075258689999995,12.56366417,0,0,1,2
Campo Grande,Brasil,762,0.0941,315.2868,13635.7246,8.2625,79.5389,1.041482807,3.132194883,669.5441457999999,124.5307754,3.2548020089999996,-20.45099705,-54.61599566,18.62,18714.339,798759.0,73.08045934,72.97566845,5.582547312000001,9.111441459,1,0,3,1
