L1,L2,COUNTRY,BECNURBPTCH,BECPTCHDENS,BECEFFMESHSIZE,BECAWAVGPTCHAREA,BECAWMNSHPINDX,BECAWMNNNGH,BECADCRCTYAVG,BECADINTDENS,BECADSTTDENS,BECADSTTLGAVG,BECADSTTPNODEAVG,TRANS_PROF,TRANS_PROB,URBAN_PROF,URBAN_PROB,LAT,LONG
SAN SALVADOR,CUSCATANCINGO,El Salvador,29,4.5351,105.7928,170.8701,4.133,60.2894,1.058963647,90.17004093,12696.14504,77.85062681,2.381374723,1,0.9940,2,0.9996,13.7602164391792,-89.1794561989402
SAN SALVADOR,DELGADO,El Salvador,149,4.4652,45.9142,214.8904,3.975,61.6637,1.130186838,17.71858635,4561.2734,143.2835376,2.343949045,2,0.9924,2,1.0000,13.7551536746271,-89.1603251136275
SAN SALVADOR,ILOPANGO,El Salvador,39,1.1225,70.3303,330.9973,3.2264,74.5317,1.079873357,14.2744871,3169.385878,128.6802809,2.608308605,2,0.8446,2,0.9992,13.6923442736870,-89.0954298040575
SAN SALVADOR,MEJICANOS,El Salvador,44,2.258,404.0498,874.2837,3.6596,60.2255,1.084231446,52.40242552,7918.467629,85.87056176,2.483827493,2,0.7184,3,1.0000,13.7378892166707,-89.2187837425578
SAN SALVADOR,NEJAPA,El Salvador,94,1.1288,0.5306,23.4372,2.8514,89.9184,1.116702473,4.375994966,1393.687941,178.1767173,2.646825397,2,0.9349,6,0.9880,13.8400083217634,-89.2262786837184
SAN SALVADOR,NUEVO CUSCATLAN,El Salvador,27,3.1159,0.6119,8.8189,2.184,89.5245,1.129242864,24.07336845,4295.840501,105.5606916,2.837944664,2,0.7103,2,1.0000,13.6430901762060,-89.2657457195453
SAN SALVADOR,PANCHIMALCO,El Salvador,71,0.7321,0.1514,15.8218,2.196,134.8085,1.216037218,1.300240426,931.7200635,435.4308725,2.39893617,2,0.9969,6,1.0000,13.5694469388531,-89.1779399180885
SAN SALVADOR,SAN BARTOLOME PERULAPIA,El Salvador,15,1.2603,0.2705,11.8821,1.9439,109.127,1.028557924,5.4255898,950.1593556,104.4326628,2.697674419,4,1.0000,6,0.9999,13.7839115712755,-89.0517117435228
SAN SALVADOR,SAN MARCOS,El Salvador,21,1.2516,96.5982,392.1779,3.2208,62.0646,1.11130618,21.67098284,4585.989595,123.5287371,2.518518519,2,0.9827,2,0.8031,13.6519847457664,-89.1956459189290
SAN SALVADOR,SAN MARTIN,El Salvador,49,0.8757,63.122,536.1061,4.9119,62.5359,1.085250539,14.50958637,2765.316373,105.2083317,2.451109285,2,0.8666,2,0.7421,13.7352387878581,-89.0619767795344
